Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.603600,-122.580400,-90.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",90.424000,-122.580400,-90.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.265200,-122.580400,-90.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.502000,-107.797600,90.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",90.322400,-107.797600,90.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.265200,-107.830000,90.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.703000,-135.636000,-90.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.975000,-131.000000,0.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.625000,-107.850000,90.000000,top
"C10","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.250000,-107.830000,-90.000000,top
"D1","B320","D_SMC",146.750000,-88.950000,90.000000,top
"D2","LED_Small","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.875000,-114.710000,90.000000,top
"D3","LED_Small","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.875000,-125.125000,-90.000000,top
"D4","LED_Small","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.875000,-119.895000,90.000000,top
"D5","LED_Small","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.875000,-109.525000,90.000000,top
"J1","Raspberry_Pi_2_3","PinHeader_2x20_P2.54mm_Vertical",133.000000,-135.500000,-90.000000,top
"J2","Debug","PinHeader_2x13_P2.54mm_Vertical_Fluke_Numbering_mirrored",75.325000,-127.325000,180.000000,top
"J3","Conn_02x08_Top_Bottom","PinHeader_2x08_P2.54mm_Vertical",84.836000,-89.662000,90.000000,top
"J4","DB25_Female","DSUB-25_Female_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm",64.450000,-128.525000,-90.000000,top
"J5","POWER","TerminalBlock_bornier-5_P5.08mm",166.900000,-109.825000,-90.000000,top
"J6","PWset","PinHeader_2x04_P2.54mm_Vertical",143.150000,-130.600000,0.000000,top
"J7","12V in","TerminalBlock_bornier-2_P5.08mm",155.560000,-88.700000,0.000000,top
"J8","12V in Barrel Jack","BarrelJack_Horizontal",156.814000,-100.050000,180.000000,top
"J9","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",124.010000,-87.500000,-90.000000,top
"J10","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",74.200000,-135.425000,0.000000,top
"JP1","OE","PinHeader_1x02_P2.54mm_Vertical",123.710000,-130.500000,90.000000,top
"JP3","Onboard -5V","PinHeader_1x02_P2.54mm_Vertical",152.146000,-131.300000,-90.000000,top
"JP4","Jumper_NC_Small","PinHeader_1x02_P2.54mm_Vertical",136.825000,-92.450000,90.000000,top
"Q1","BSS138","SOT-23",101.352000,-115.550000,90.000000,top
"Q2","BSS138","SOT-23",111.000000,-115.500000,90.000000,top
"R1","R_Small","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.650001,-124.550001,0.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.352000,-121.150000,180.000000,top
"R3","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.100000,-121.100000,180.000000,top
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.275000,-107.700000,-90.000000,top
"R5","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.257600,-107.800000,-90.000000,top
"R10","300R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.175000,-114.741666,90.000000,top
"R11","300R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.175000,-125.125000,90.000000,top
"R12","700R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.175000,-119.933332,90.000000,top
"R13","300R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.175000,-109.550000,90.000000,top
"R14","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.500000,-99.400000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",129.850000,-87.500000,180.000000,top
"TP1","TestPoint","PinHeader_1x01_P2.54mm_Vertical",166.925000,-91.525000,0.000000,top
"U1","TXS0104EPW","SOIC-14_3.9x8.7mm_P1.27mm",83.400000,-115.047000,90.000000,top
"U2","TXS0104EPW","SOIC-14_3.9x8.7mm_P1.27mm",94.183200,-115.047000,90.000000,top
"U3","TXS0104EPW","SOIC-14_3.9x8.7mm_P1.27mm",119.048000,-115.047000,90.000000,top
"U4","CK1408","CK1408",140.000000,-107.750000,-90.000000,top
"U5","B0505S","Converter_DCDC_muRata_CRE1xxxxxxSC_THT",159.650000,-135.225000,-90.000000,top
"U6","SN74LV1T34DBV","SOT-23-5",105.150000,-107.650000,0.000000,top
"U7","SN74LV1T34DBV","SOT-23-5",123.250000,-107.700000,0.000000,top
