Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","6.8uF 35V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.900000,-118.137500,-90.000000,top
"C2","6.8uF 35V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.655000,-118.137500,-90.000000,top
"C3","100uF","CP_Radial_D5.0mm_P2.50mm",150.605112,-75.200000,180.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",187.750000,-75.875000,-90.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",195.475000,-75.875000,-90.000000,top
"C7","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.112500,-102.400000,0.000000,top
"C51","2-10pF","C_1210_3225Metric",124.870000,-107.125000,-90.000000,top
"C52","5-50pF","C_1210_3225Metric",128.870000,-107.125000,-90.000000,top
"C53","0.22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.355000,-86.900000,180.000000,top
"C54",".001uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.600000,-107.755000,90.000000,top
"C55",".001uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.100000,-107.100000,180.000000,top
"C56","22uF 15V Tant","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.800000,-117.120000,180.000000,top
"C58","0.22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.700000,-81.700000,0.000000,top
"C59","0.22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.112500,-99.905000,180.000000,top
"C60","0.22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.325000,-97.600000,180.000000,top
"C61","0.22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.900000,-113.000000,180.000000,top
"C62","0.22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.800000,-113.000000,180.000000,top
"C71","0.22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",192.800000,-108.800000,0.000000,top
"CR3","1N4448","D_SOD-123",127.445000,-87.900000,90.000000,top
"CR4","1N4448","D_SOD-123",124.500000,-87.900000,90.000000,top
"CR5","1N4448","D_SOD-123",144.045000,-113.050000,0.000000,top
"CR6","1N4448","D_SOD-123",149.170000,-113.050000,0.000000,top
"CR7","1N4448","D_SOD-123",129.600000,-117.100000,0.000000,top
"CR13","1N4448","D_SOD-123",135.000000,-117.000000,0.000000,top
"D1","MBR120(520?)","Nexperia_CFP3_SOD-123W",193.000000,-120.000000,180.000000,top
"D2","LED RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.525000,-127.441250,180.000000,top
"D3","LED GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",111.145000,-127.441250,0.000000,top
"F1","Polyfuse","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",110.500000,-117.500000,90.000000,top
"J1","9010A Probe","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm",105.800000,-118.400000,-90.000000,top
"J2","FluCom3","PinHeader_2x08_P2.54mm_Vertical",126.350000,-77.740000,90.000000,top
"J4","Cap_Adj1","PinHeader_1x02_P2.54mm_Vertical",121.000000,-106.425000,0.000000,top
"J7","Cap_Adj2","PinHeader_1x02_P2.54mm_Vertical",132.800000,-106.425000,0.000000,top
"J8","40 Pin","PinHeader_2x20_P2.54mm_Vertical",174.525000,-123.575000,-90.000000,top
"J9","Ext LED","PinHeader_1x03_P2.54mm_Vertical",111.275000,-124.500000,90.000000,top
"J10","Trig Out","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",199.525000,-115.025000,-90.000000,top
"Q1","BSS138","SOT-23",154.633332,-82.100000,-90.000000,top
